ID;Type;Category;Title;Description;Intention;Example;Implementation
RF-01;Functional;Configuration;Project Requirements Loading;The system must read project_config.json in JSON format.;Centralize all project configuration in a single human-readable file, facilitating changes without touching the code.;;src/schedule/loader.py:L10-37
RF-01.1;Functional;Configuration;New Requirements Format;Support for the format {"settings":{...},"milestones":[...]};Allow the configuration file to evolve with extra fields without breaking the structure.;;src/schedule/loader.py:L28-30
RF-01.2;Functional;Configuration;Legacy Requirements Format;Support for a flat array of milestones without the settings block, returning settings={};Ensure that projects configured before the introduction of the settings block continue to work without forced migration.;;src/schedule/loader.py:L24-26
RF-01.3;Functional;Configuration;Settings Block Fields;Support for: project_start_date, working_start_hour, working_end_hour, hours_per_day, num_resources.;Allow all operational parameters of the project to be adjusted via configuration without code changes.;project_start_date: 2026-02-08, num_resources: 2;src/schedule/project.py:L31-32 + src/schedule/project.py:L74-80
RF-01.4;Functional;Configuration;Error Handling in Loading;Missing or invalid JSON returns ({}, []) with an error message without an unhandled exception.;Avoid silent crashes or exposing stack traces to the end user in case of misconfiguration.;;src/schedule/loader.py:L32-37
RF-02;Functional;Data;Deliverable Structure Loading;Read the task template from deliverable_structure.csv delimited by semicolon.;Decouple the task structure definition from the code, allowing tasks to be added/removed by editing only the CSV.;;src/schedule/loader.py:L69-136
RF-02.1;Functional;Data;Mandatory Task CSV Fields;document_id, document_part_number, document_name, document_type, strategy, std_duration, successors.;Ensure the loader knows exactly which columns to look for, making the read deterministic.;;src/core/models.py:L14-35
RF-02.2;Functional;Data;Native Duration Reading in Minutes;std_duration is read directly in minutes, NaN results in 0.;The engine works internally with minutes to maintain precision in customization integrations.;std_duration=150 -> 150 minutes;src/schedule/loader.py:L101-105
RF-02.3;Functional;Data;Robust Successor Parsing;successors is a CSV string of integers; NaN, floats, and non-numeric values are ignored.;The CSV may have empty or poorly formatted cells without crashing the entire file load.;;src/core/models.py:L38-49
RF-02.4;Functional;Data;Graph Resolution on Loading;After reading, successors_tasks and predecessors are populated by cross-referencing CSV IDs.;Materializing object references facilitates graph traversal without repetitive lookups in the ID map.;;src/schedule/loader.py:L117-128
RF-02.5;Functional;Data;TaskType Cache;The (document_type, strategy) pair is cached to avoid duplicate objects.;Reduce memory allocations and ensure object identity among tasks of the same type.;;src/core/models.py:L4-7 + src/schedule/loader.py:L83-93
RF-03;Functional;Schedule;Task Generation per Milestone;For each milestone, the system instantiates independent copies of the task template.;Each milestone represents a distinct product/deliverable that needs its own execution plan without interfering with others.;;src/schedule/project.py:L16-98
RF-03.1;Functional;Schedule;Selection by deliverable_structure;If the milestone defines deliverable_structure, only listed part_numbers (+ 70000) are included.;Allow each milestone to use only the relevant subset of tasks for its product scope.;;src/schedule/project.py:L109-124
RF-03.2;Functional;Schedule;Default Selection without deliverable_structure;Without deliverable_structure, all non-milestone tasks from the template are included.;Provide a complete default behavior for milestones without scope restriction.;;src/schedule/project.py:L122-124
RF-03.3;Functional;Schedule;Forced Inclusion of Milestone Task;The 'milestone' type task is always included regardless of selection.;The milestone task is the completion marker for the deliverable; omitting it would break the Gantt semantics.;;src/schedule/project.py:L130-133
RF-03.4;Functional;Schedule;Global Unique IDs via Counter;Each task receives a unique ID via an incremental _next_task_id.;Duplicate IDs would cause collisions in the task map and incorrect display on the Gantt; the counter ensures uniqueness.;;src/schedule/project.py:L150-156
RF-03.5;Functional;Schedule;milestone_id Assignment to Tasks;Each task inherits the milestone_id from its parent milestone.;Allows filtering and grouping tasks by milestone in visualization and export.;;src/schedule/project.py:L135-137 + src/core/models.py:L96-104
RF-03.6;Functional;Schedule;Post-Copy Dependency Re-wiring;successors_ids are remapped from original IDs to new IDs after copying.;Without re-wiring, clones would point to tasks from another milestone, creating incorrect cross-milestone dependencies.;;src/schedule/project.py:L160-179 + src/core/models.py:L83-93
RF-04;Functional;Schedule;Recursive Task Duplication with Variants;extra_args defines variants of a part_number; the entire chain of predecessors is duplicated for each variant.;Products with multiple variants need independent production trajectories for correct scheduling.;;src/schedule/project.py:L139-181
RF-04.1;Functional;Schedule;Two extra_args Formats;Input as string (part_number only) or dict (part_number + customizations).;Allow simple variants with short syntax and complex variants with full override.;60010.3" vs {"part_number":"60010.1","customizations":{...}};src/schedule/project.py:L139-144
RF-04.2;Functional;Schedule;Recursive Predecessor Duplication;When duplicating a task, all its direct and indirect predecessors are also duplicated per variant.;A variant that shared predecessors with another would have its dates contaminated by the other variant.;;src/schedule/project.py:L100-181
RF-04.3;Functional;Schedule;Part_number with Variant Suffix;60010 -> 60010.1, 60010.2, 60010.3 in clones.;The suffix allows tracking which physical variant each task represents in the export CSV and Gantt.;;src/schedule/project.py:L152 (input/project_config.json - suffix defined in extra_args)
RF-04.4;Functional;Schedule;Original_id to New IDs Map;Ensures that dependencies between duplicated tasks are correctly re-wired within each variant.;Without the map, clones would keep references to original IDs, and dependencies between variants would be incoherent.;;src/schedule/project.py:L160-172
RF-04.5;Functional;Schedule;Non-Variant Tasks Remain Unique;Tasks whose part_number is not in the variants list are not duplicated.;Shared tasks should not be multiplied, or the schedule would be unrealistically long.;;src/schedule/project.py:L150-156
RF-04.6;Functional;Schedule;Consumed Task Deduplication;consumed_original_task_ids prevents multiple duplication of the same task.;Avoid combinatorial explosion of tasks if a predecessor is reachable by multiple paths.;;src/schedule/project.py:L148
RF-05;Functional;Customization;Customizations per Milestone and Variant;Durations adjusted at two levels: milestone (default) and variant (exclusive override).;Products of the same family can share most customizations but differ in specific details per variant.;;src/schedule/project.py:L246-315
RF-05.1;Functional;Customization;Milestone Level (Default);customizations in the milestone applies to all milestone tasks.;Defines the base profile of the milestone without needing to repeat settings for each variant.;color: red applies to entire 70015;src/schedule/project.py:L260-263
RF-05.2;Functional;Customization;Variant Level (Exclusive Override);customizations in an extra_arg completely replaces the milestone's for that variant - no partial merge.;Total override ensures predictable and traceable behavior; a partial merge would be ambiguous.;60010.2 with {color:purple} ignores color:red from milestone;src/schedule/project.py:L263-270
RF-05.3;Functional;Customization;Milestone Customization Inheritance;Variants without explicit customizations inherit from the parent milestone.;Avoids unnecessary configuration repetition for variants that do not differ from the default.;;src/schedule/project.py:L260-263
RF-05.4;Functional;Customization;Global Customization Name Collection;global_applied_customization_names traverses all milestones and variants before any calculation.;Ensure the list of customization types is complete before processing any duration.;;src/schedule/project.py:L47-65
RF-06;Functional;Customization;Duration Lookup by Customization Type;For each active customization, look up the duration in the corresponding external CSV.;Separate customization data from source code allows managers to update durations without programming.;;src/schedule/loader.py:L138-172
RF-06.1;Functional;Customization;Customization File Resolution;File resolved as input/customization_<name>.csv.;Predictable naming convention eliminates the need to configure each file path.;customization_color.csv;src/schedule/loader.py:L55-67 + src/core/models.py:L9-12
RF-06.2;Functional;Customization;Match by Task Name or Type;document_name is preferred, fallback to part_document_type.;Allows lookup either by specific name (granular) or generic type.;;src/schedule/loader.py:L154-158
RF-06.3;Functional;Customization;Duration Column Selection;Looks for <task_type_desc>_st, fallback to duration_st or std_duration.;Each task type can have its own duration column with fallback to standard fields.;drawing_st, part_model_st;src/schedule/loader.py:L148-151
RF-06.4;Functional;Customization;Customization as Descriptive Tag;The value (e.g., 'red') does not filter rows; duration is extracted from the row that matches by name/type.;Prevents the absence of a 'red' row from silently causing zero duration.;;src/schedule/loader.py:L138-172
RF-06.5;Functional;Customization;Missing File Tolerance;Missing CSV returns None and emits a warning; does not interrupt execution.;A customization type not yet implemented (status 'nok') should not block the simulation.;;src/schedule/loader.py:L167-172
RF-07;Functional;Customization;Maximum Duration Selection;When multiple customizations produce valid durations, the largest is applied.;The manufacturer must plan for the worst case of each task; underestimating duration results in real delays.;color->120min and length->240min => final duration: 240min;src/schedule/project.py:L276-290
RF-07.1;Functional;Customization;Collection of All Valid Durations;Non-None durations from all active customizations are gathered into a list.;Ensure no duration source is discarded before comparison.;;src/schedule/project.py:L276-278
RF-07.2;Functional;Customization;Applying max();The max() of the list is the final duration.;Simple, auditable rule without ambiguity.;;src/schedule/project.py:L278-286
RF-07.3;Functional;Customization;Maintaining Default Duration without Customization;Without customized durations, the std_duration from the template is kept.;Tasks not affected by customizations should not have their durations accidentally changed.;;src/schedule/project.py:L276-288
